	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015
C=	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
T=	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30
Mean=	91.19354839	87.25806452	89.70967742	87.64516129	91.74193548	86.74193548	89.25806452	85.58064516	87.83870968	86.93548387	90.19354839	86.41935484	89.16129032	86.64516129	91.25806452	91.93548387	94.09677419	84.70967742	86.61290323	90.06451613
standard deviation=	8.55	9.32	6.41	9.72	9.52	8.22	9.43	7.02	6.66	7.73	9.79	9.03	8.73	9.01	7.45	9.93	9.25	7.73	6.59	8.71
	1-Sep	25-Sep	21-Aug	17-Jul	31-Jul	4-Sep	1-Sep	18-Sep	13-Aug	7-Oct	9-Sep	21-Sep	25-Aug	2-Sep	28-Sep	6-Sep	12-Aug	17-Aug	26-Sep	6-Jul
																				
																				
Day	St	St	St	St	St	St	St	St	St	St	St	St	St	St	St	St	St	St	St	St
1-Jul	0	0	0	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
2-Jul	0	0	0	3	0	0	0	6	9	1	1	6	8	4	15	7	11	11	6	16
3-Jul	0	0	0	0	0	0	0	1	8	0	0	8	3	0	21	1	3	16	2	24
4-Jul	0	0	0	0	0	0	0	0	5	0	0	5	0	0	24	0	0	21	2	26
5-Jul	0	0	0	0	0	0	0	3	0	0	0	1	0	4	24	0	0	20	0	29
6-Jul	0	1	0	0	0	0	0	1	0	2	6	0	4	0	23	0	0	19	0	32
7-Jul	0	10	0	3	0	0	0	0	0	10	13	1	2	0	18	0	0	21	0	29
8-Jul	0	7	0	1	0	0	0	0	0	6	19	3	0	2	9	0	0	15	0	26
9-Jul	0	7	0	0	0	0	0	0	0	1	22	0	0	1	1	0	0	9	0	23
10-Jul	0	5	0	0	0	0	0	0	0	7	25	0	0	1	0	0	0	3	0	17
11-Jul	0	5	0	3	0	0	2	0	0	8	22	0	0	0	0	0	1	5	0	12
12-Jul	0	1	1	10	0	0	12	0	0	6	18	0	0	0	0	0	8	0	0	6
13-Jul	0	0	0	22	0	0	16	0	0	5	15	0	1	0	0	0	9	4	0	1
14-Jul	0	0	0	26	0	2	14	0	0	2	11	0	0	0	0	0	10	0	0	0
15-Jul	6	0	0	29	0	3	9	0	1	2	7	2	0	0	0	9	11	0	0	0
16-Jul	3	0	0	28	0	3	3	0	2	1	3	0	0	0	0	13	11	0	1	0
17-Jul	0	0	0	31	0	0	0	0	3	0	0	0	0	0	1	15	9	0	0	0
18-Jul	0	0	0	28	0	0	0	0	0	0	0	0	0	2	7	15	7	0	2	0
19-Jul	0	0	0	25	0	0	0	0	1	0	0	0	0	5	5	10	7	0	0	0
